|6.6.6																					
average_ww_mp_ds6_2_1.tab																					
	2																				
T(K)																					
	723																				
	3.174603175																				
	64																				
P(bar)																					
	5000																				
	158.7301587																				
	64																				
	21																				
T(K)	P(bar)	C[Gt(W)1]	C[Gt(W)2]	C[Gt(W)3]	C[Gt(W)4]	C[Bi(W)5]	C[Bi(W)6]	C[Bi(W)7]	C[Bi(W)8]	C[Bi(W)9]	C[Mica(W)10]	C[Mica(W)11]	C[Mica(W)12]	C[Mica(W)13]	C[Mica(W)14]	C[Chl(W)15]	C[Chl(W)16]	C[Chl(W)17]	C[Chl(W)18]	C[Chl(W)19]	
	796.016	5000	NaN	NaN	NaN	NaN	0.892351	1.92349	2.8274	1.3452	1.16E-02	2.75E-02	2.94E-02	3.05266	2.89042	0.154356	2.70489	2.59023	2.02265	2.65594	2.63E-02
	799.19	5000	NaN	NaN	NaN	NaN	0.897412	1.91206	2.8211	1.35781	1.16E-02	2.68E-02	2.86E-02	3.05106	2.89347	0.157428	2.69312	2.61376	2.02181	2.64514	2.62E-02
	802.365	5000	NaN	NaN	NaN	NaN	0.899536	1.90352	2.81464	1.37073	1.16E-02	2.61E-02	2.79E-02	3.04939	2.89662	0.160685	2.68135	2.6373	2.02228	2.63289	2.62E-02
	805.54	5000	NaN	NaN	NaN	NaN	0.905531	1.89108	2.80811	1.38379	1.15E-02	2.55E-02	2.72E-02	3.04787	2.8995	0.16374	2.66922	2.66156	2.02022	2.6229	2.61E-02
	808.714	5000	NaN	NaN	NaN	NaN	0.907263	1.88253	2.80142	1.39716	1.16E-02	2.47E-02	2.64E-02	3.04624	2.90257	0.167124	2.65724	2.68551	2.02057	2.61055	2.61E-02
	811.889	5000	NaN	NaN	NaN	NaN	0.909769	1.87312	2.79463	1.41073	1.17E-02	2.41E-02	2.57E-02	3.0447	2.90547	0.170407	2.64515	2.7097	2.02004	2.59898	2.61E-02
	815.063	5000	NaN	NaN	NaN	NaN	0.913049	1.86295	2.78775	1.42449	1.18E-02	2.34E-02	2.51E-02	3.04317	2.90832	0.173758	2.63301	2.73399	2.01891	2.58801	2.61E-02
	818.238	5000	0.217002	0.191432	0.555412	2.03615	0.917191	1.85213	2.78079	1.43842	1.15E-02	2.28E-02	2.44E-02	3.04169	2.91109	0.177129	2.62102	2.75795	2.0196	2.57613	2.53E-02
	821.413	5000	0.226583	0.181394	0.513339	2.07868	0.923353	1.83984	2.77373	1.45254	1.05E-02	2.23E-02	2.37E-02	3.04028	2.91372	0.180564	2.60954	2.78091	2.02446	2.56192	2.32E-02
	824.587	5000	0.236271	0.172193	0.46919	2.12235	0.929094	1.82788	2.76657	1.46686	9.59E-03	2.17E-02	2.31E-02	3.03889	2.9163	0.18392	2.5981	2.8038	2.03109	2.54601	2.10E-02
	827.762	5000	0.246422	0.163385	0.425415	2.16478	0.935844	1.81483	2.75934	1.48133	8.66E-03	2.13E-02	2.24E-02	3.03754	2.91878	0.187357	2.58699	2.82601	2.03874	2.52938	1.89E-02
	830.937	5000	0.257002	0.154751	0.381781	2.20647	0.943708	1.80059	2.75205	1.49591	7.75E-03	2.07E-02	2.18E-02	3.03619	2.92127	0.190886	2.57624	2.84753	2.04822	2.5112	1.68E-02
	834.111	5000	0.268152	0.146721	0.339034	2.24609	0.953113	1.78471	2.74469	1.51063	6.87E-03	2.03E-02	2.12E-02	3.03491	2.92361	0.194298	2.56583	2.86835	2.05953	2.4915	1.48E-02
	837.286	5000	0.279947	0.13925	0.297533	2.28327	0.962929	1.76834	2.73726	1.52548	5.99E-03	1.99E-02	2.06E-02	3.03371	2.92579	0.197518	2.55595	2.8881	2.07492	2.46816	1.29E-02
	840.46	5000	0.292512	0.132205	0.25795	2.31733	0.975253	1.74945	2.72988	1.54023	5.19E-03	1.95E-02	2.00E-02	3.03249	2.92801	0.200977	2.54679	2.90641	2.09393	2.44178	1.11E-02
	843.635	5000	0.313736	0.123892	0.266448	2.29592	1.028	1.68944	2.72279	1.55442	5.35E-03	2.00E-02	1.92E-02	3.03215	2.92872	0.203298	2.54524	2.90952	2.19192	2.34198	1.13E-02
	846.81	5000	0.345437	0.115287	0.334255	2.20502	1.12751	1.58209	2.71633	1.56735	6.73E-03	2.13E-02	1.82E-02	3.03275	2.92774	0.203584	2.55269	2.89462	2.37706	2.16157	1.41E-02
	849.984	5000	0.377066	0.107645	0.402502	2.11279	1.22469	1.47701	2.70984	1.58033	8.14E-03	2.25E-02	1.73E-02	3.0333	2.92688	0.203667	NaN	NaN	NaN	NaN	NaN
	853.159	5000	0.381475	0.104582	0.399573	2.11437	1.22246	1.47535	2.70599	1.58802	8.18E-03	2.30E-02	1.78E-02	3.03444	2.92481	0.197191	NaN	NaN	NaN	NaN	NaN
	856.333	5000	0.38525	0.101764	0.395035	2.11795	1.22063	1.47332	2.70216	1.59567	8.22E-03	2.34E-02	1.82E-02	3.03551	2.92285	0.191096	NaN	NaN	NaN	NaN	NaN
